03,07,20,22,26,29
01,06,08,10,13,27
01,09,10,19,23,27
06,11,13,19,21,32
04,07,21,25,26,29
01,02,17,22,26,27
01,03,05,20,21,31
08,18,20,28,29,31
01,07,13,19,21,29
01,13,17,18,23,30
06,15,18,21,26,27
02,05,08,24,25,31
05,08,11,17,24,28
08,10,14,19,26,29
11,12,14,17,23,27
01,07,09,16,22,32
09,14,15,18,21,26
06,18,22,26,32,33
01,03,18,27,31,32
02,06,09,16,25,32
02,09,10,18,19,20
09,20,24,25,26,32
01,07,08,16,18,20
01,10,15,18,19,28
01,02,07,10,22,26
03,07,17,22,32,33
02,04,11,16,25,26
04,10,24,26,28,32
03,09,12,16,17,31
07,12,14,17,20,23
13,16,17,22,25,27
02,03,20,24,26,27
05,07,10,14,23,31
01,05,13,22,30,31
02,03,04,13,14,16
11,12,15,24,26,27
09,10,19,21,23,32
04,09,11,17,21,25
13,16,18,27,30,32
01,13,15,26,29,30
05,06,11,12,14,33
05,07,12,18,28,31
04,06,16,17,26,33
01,08,09,22,24,33
12,13,17,18,20,27
03,06,21,29,31,32
11,14,16,18,29,32
01,05,07,22,26,32
08,11,14,15,16,26
07,14,15,19,21,28
04,07,10,26,27,28
05,07,09,16,26,29
02,13,17,21,22,33
10,11,12,15,27,32
09,11,16,18,23,24
08,09,10,13,29,30
04,07,10,16,23,25
14,15,16,17,27,28
01,04,07,19,22,23
02,06,11,19,25,26
06,09,12,14,28,29
13,18,20,25,27,33
02,06,10,15,17,31
01,07,20,24,25,33
02,12,16,19,27,30
08,09,24,25,26,29
03,05,22,23,29,31
04,14,15,17,18,20
01,02,03,08,21,31
04,07,14,17,21,25
04,07,10,16,20,22
01,07,09,17,20,33
01,10,11,29,31,33
07,10,16,17,18,32
02,14,15,16,23,24
10,15,20,23,24,31
07,15,16,25,28,32
01,07,09,16,20,23
08,13,15,20,21,25
04,05,08,11,21,27
03,08,14,22,24,32
07,09,10,15,19,33
01,02,05,12,15,16
06,07,22,26,31,32
01,06,13,20,29,32
10,12,13,23,26,29
03,05,06,09,10,27
03,12,18,20,25,26
06,21,22,23,25,28
08,09,11,16,21,24
06,10,11,14,17,33
01,14,15,20,25,29
04,06,13,29,31,33
03,06,09,11,25,29
03,16,19,27,31,32
02,04,11,13,25,33
05,16,22,23,26,28
13,14,16,23,30,31
05,06,14,15,18,33
05,17,21,22,28,32
