03,07,20,22,26,29|02
01,06,08,10,13,27|16
01,09,10,19,23,27|09
06,11,13,19,21,32|04
04,07,21,25,26,29|08
01,02,17,22,26,27|04
01,03,05,20,21,31|05
08,18,20,28,29,31|08
01,07,13,19,21,29|15
01,13,17,18,23,30|15
06,15,18,21,26,27|10
02,05,08,24,25,31|14
05,08,11,17,24,28|16
08,10,14,19,26,29|12
11,12,14,17,23,27|01
01,07,09,16,22,32|12
09,14,15,18,21,26|16
06,18,22,26,32,33|04
01,03,18,27,31,32|13
02,06,09,16,25,32|14
02,09,10,18,19,20|15
09,20,24,25,26,32|04
01,07,08,16,18,20|14
01,10,15,18,19,28|02
01,02,07,10,22,26|07
03,07,17,22,32,33|10
02,04,11,16,25,26|12
04,10,24,26,28,32|09
03,09,12,16,17,31|04
07,12,14,17,20,23|05
13,16,17,22,25,27|10
02,03,20,24,26,27|09
05,07,10,14,23,31|01
01,05,13,22,30,31|07
02,03,04,13,14,16|02
11,12,15,24,26,27|15
09,10,19,21,23,32|08
04,09,11,17,21,25|06
13,16,18,27,30,32|16
01,13,15,26,29,30|12
05,06,11,12,14,33|14
05,07,12,18,28,31|03
04,06,16,17,26,33|03
01,08,09,22,24,33|03
12,13,17,18,20,27|13
03,06,21,29,31,32|05
11,14,16,18,29,32|16
01,05,07,22,26,32|11
08,11,14,15,16,26|07
07,14,15,19,21,28|07
04,07,10,26,27,28|14
05,07,09,16,26,29|07
02,13,17,21,22,33|13
10,11,12,15,27,32|14
09,11,16,18,23,24|10
08,09,10,13,29,30|01
04,07,10,16,23,25|10
14,15,16,17,27,28|08
01,04,07,19,22,23|04
02,06,11,19,25,26|04
06,09,12,14,28,29|09
13,18,20,25,27,33|12
02,06,10,15,17,31|13
01,07,20,24,25,33|04
02,12,16,19,27,30|11
08,09,24,25,26,29|01
03,05,22,23,29,31|06
04,14,15,17,18,20|15
01,02,03,08,21,31|09
04,07,14,17,21,25|14
04,07,10,16,20,22|03
01,07,09,17,20,33|08
01,10,11,29,31,33|13
07,10,16,17,18,32|15
02,14,15,16,23,24|10
10,15,20,23,24,31|15
07,15,16,25,28,32|05
01,07,09,16,20,23|06
08,13,15,20,21,25|12
04,05,08,11,21,27|08
03,08,14,22,24,32|09
07,09,10,15,19,33|01
01,02,05,12,15,16|13
06,07,22,26,31,32|10
01,06,13,20,29,32|01
10,12,13,23,26,29|11
03,05,06,09,10,27|14
03,12,18,20,25,26|16
06,21,22,23,25,28|13
08,09,11,16,21,24|10
06,10,11,14,17,33|06
01,14,15,20,25,29|11
04,06,13,29,31,33|13
03,06,09,11,25,29|09
03,16,19,27,31,32|10
02,04,11,13,25,33|01
05,16,22,23,26,28|02
13,14,16,23,30,31|13
05,06,14,15,18,33|08
05,17,21,22,28,32|14
01,02,10,24,30,33|10
05,08,09,20,28,32|02
05,07,08,17,18,24|14
02,10,12,21,23,27|12
06,11,16,17,22,27|01
10,11,15,26,31,32|06
02,17,20,24,31,33|04
01,06,11,17,28,33|05
06,09,11,16,20,29|11
01,02,13,22,28,30|09
01,07,12,16,23,28|04
06,13,17,20,26,29|09
05,07,15,18,26,30|03
05,10,17,25,28,29|04
09,10,14,15,19,29|16
01,09,10,11,13,32|03
02,07,23,30,32,33|10
12,14,28,31,32,33|07
01,15,16,21,24,30|03
02,08,17,20,22,28|02
01,08,11,13,19,30|06
02,05,11,15,19,28|02
03,08,09,20,23,28|02
11,14,17,22,25,27|16
09,14,17,18,21,25|15
14,16,17,19,27,32|04
02,06,12,19,27,28|13
03,08,09,10,18,33|04
14,16,21,24,28,31|13
16,18,20,23,24,32|07
01,06,09,10,14,16|11
01,05,10,11,13,32|14
02,13,17,20,29,31|07
07,13,24,25,27,32|15
12,14,17,19,22,24|08
05,06,08,14,22,31|08
01,10,18,20,23,29|01
02,08,09,10,20,29|05
03,13,18,19,22,26|07
